estrato;arv;idespecie;dap1;dap2
1;228;1;9,23;11,78
1;229;1;9,23;12,10
1;230;1;9,39;10,19
1;231;1;9,39;12,57
1;232;1;9,39;12,89
1;233;1;9,55;10,19
1;234;1;9,55;12,25
1;235;1;9,55;12,57
1;236;1;9,55;12,57
1;237;1;9,55;13,37
1;238;1;9,55;13,69
1;239;1;9,71;10,35
1;240;1;9,71;11,46
1;241;1;9,71;12,41
1;242;1;9,87;10,82
1;243;1;9,87;13,05
1;244;1;9,87;13,85
1;245;1;10,19;12,57
1;246;1;10,19;13,69
1;247;1;10,35;13,85
1;248;1;10,50;10,98
1;249;1;10,50;12,41
1;250;1;10,82;12,41
1;251;1;10,82;12,89
1;252;1;10,82;14,80
1;253;1;10,82;14,80
1;254;1;11,14;14,32
1;255;1;11,46;11,78
1;256;1;11,46;12,89
1;257;1;11,62;12,10
1;258;1;11,65;14,64
1;259;1;11,78;14,48
1;260;1;12,10;13,69
1;261;1;12,10;14,64
1;262;1;12,41;15,92
1;263;1;12,48;16,39
1;264;1;12,73;14,80
1;265;1;12,83;15,44
1;266;1;13,05;17,03
1;267;1;14,16;16,55
1;268;1;14,32;17,98
1;269;1;14,96;18,46
1;270;1;15,60;17,03
1;271;1;16,07;18,30
1;272;1;16,39;18,30
1;273;1;16,55;19,74
1;274;1;16,55;20,85
1;275;1;17,13;19,26
1;276;1;17,19;17,98
1;277;1;17,19;20,37
1;278;1;17,19;21,96
1;279;1;17,19;22,44
1;280;1;17,19;22,44
1;281;1;17,51;18,62
1;282;1;17,67;19,58
1;283;1;17,95;20,05
1;284;1;17,98;20,05
1;285;1;18,14;19,10
1;286;1;18,27;23,55
1;287;1;18,33;20,85
1;288;1;18,78;19,10
1;289;1;18,78;20,21
1;290;1;18,78;21,33
1;291;1;18,78;21,33
1;292;1;18,94;22,92
1;293;1;19,10;21,01
1;294;1;19,26;20,85
1;295;1;19,42;21,17
1;296;1;19,42;21,96
1;297;1;19,42;22,28
1;298;1;19,58;21,49
1;299;1;19,58;23,08
1;300;1;19,74;21,49
1;301;1;19,74;21,96
1;302;1;19,89;20,53
1;303;1;20,05;20,53
1;304;1;20,05;22,44
1;305;1;20,05;23,08
1;306;1;20,21;22,28
1;307;1;20,37;23,40
1;308;1;20,37;23,71
1;309;1;20,53;23,87
1;310;1;20,69;22,28
1;311;1;20,69;22,60
1;312;1;20,69;23,08
1;313;1;20,85;21,80
1;314;1;20,85;23,40
1;315;1;21,01;23,08
1;316;1;21,17;23,71
1;317;1;21,33;24,19
1;318;1;21,49;22,44
1;319;1;21,49;23,24
1;320;1;21,49;23,71
1;321;1;21,49;24,51
1;322;1;21,65;23,24
1;323;1;21,65;23,87
1;324;1;21,96;22,60
1;325;1;21,96;22,76
1;326;1;21,96;24,19
1;327;1;22,60;24,67
1;328;1;22,60;27,37
1;329;1;22,92;24,03
1;330;1;23,11;25,78
1;331;1;23,24;25,62
1;332;1;23,30;26,42
1;333;1;23,87;27,69
1;334;1;24,51;27,22
1;335;1;24,67;27,53
1;336;1;24,86;28,49
1;337;1;25,78;27,37
1;338;1;26,42;28,49
1;339;1;26,74;29,60
1;340;1;27,15;29,13
1;341;1;27,18;28,81
1;342;1;27,22;31,19
1;343;1;27,37;28,01
1;344;1;27,37;29,60
1;345;1;28,01;31,83
1;346;1;28,65;28,65
1;347;1;28,65;29,13
1;348;1;31,04;32,95
1;349;1;31,19;32,95
1;350;1;31,83;33,58
1;351;1;31,83;34,22
1;352;1;33,42;34,06
1;353;1;34,70;36,76
1;354;1;34,85;35,81
1;355;1;36,10;36,29
1;356;1;36,61;37,88
1;357;1;38,20;40,74
1;358;1;38,99;40,11
1;359;1;40,11;41,86
1;360;1;41,22;42,65
1;361;1;41,38;42,34
1;362;1;42,18;44,25
1;363;1;43,13;43,93
1;367;1;44,56;44,56
